month,acc-month,acc-sun,acc-monday,acc-tue,acc-wed,acc-thu,acc-fri,acc-sat
1,3027469,121409,479719,494417,588208,593321,491533,258862
2,3350995,145449,570845,586678,595639,595502,562766,294116
3,3911586,199273,544477,562360,654852,685807,841094,423723
4,4109047,176966,868809,750281,701089,654868,595041,361993
5,4386188,185486,729178,732199,548657,926816,929475,334377
6,4111966,214256,598524,721195,741616,623840,745737,466798
7,4110114,168547,792930,717822,888671,658984,526801,356359
8,4527237,186457,632277,725505,726027,896683,912465,447823
9,4080865,216302,764880,685130,682847,682629,695455,353622
10,4183047,164173,554739,827908,830442,814950,662842,327993
11,3708146,151868,501840,614586,630348,631735,788253,389516
12,3303449,174522,680657,562609,447890,572112,573546,292113
